voter_id,riding_id,first_name,middle_name,last_name,birth_date,gender,street_number,street_name,unit_number,city,province_id,post_code,email_address,phone_number,vote_cast
33b0a454-6700-439f-8b95-d15cc5eee96d,24071,Layla,Williams,Kennedy,1920-04-14,2,3855,St. John Road,TXI,Saguenay,6,G3H 1J7,abatvrmdz1lsztzv@skdprojects.net,558-355-6014,false
58df161c-3485-4a99-851b-720436239cdf,59023,Louis,,Barnes,2001-03-28,1,4042,Kingsway,,Oshawa,1,A7A 9C9,jmtppd8ajkvwwtvb@skdprojects.net,342-218-2489,false
5831f6e6-0751-4ece-88fa-f8b1ea5f8fb9,24034,Freya,,Olson,1959-11-06,2,2463,Fresh Holes Road,,New Tecumseth,1,K0G 0O1,abatvrmdz1lsztzv@skdprojects.net,936-271-3353,false
d24017d6-d169-400a-aeb2-8750a145a976,46006,Callum,,Carter,1936-12-30,1,4351,South Street,,Granby,4,G4Y 2H8,jgn3ccgkexbjzdgn@skdprojects.net,112-517-1540,false
7e341c3e-e7d1-44b6-a9b8-42c8e45dc2f5,61001,Rosa,,Torres,1925-12-30,3,79,Fresh Holes Road,HZB4I,Medicine Hat,9,U2Y 8L6,jgn3ccgkexbjzdgn@skdprojects.net,914-197-0821,false
5e1d6491-fbf3-4ce2-9b30-a65893005b15,59042,Finn,,Sanchez,1931-01-28,1,787,Main Road,,Clarington,11,N3U 1U7,jmtppd8ajkvwwtvb@skdprojects.net,996-404-9200,false
a55aaec5-6cac-4280-a6ea-b87f03711a2f,47004,Skye,Reynolds,Roberts,1984-12-20,2,8484,Puddin Ridge Road,,Brampton,10,R3Z 0T2,jgn3ccgkexbjzdgn@skdprojects.net,278-999-4868,false
2e7b83c4-37bf-4e61-b806-d8edbaf2269b,35042,Caleb,,Richardson,1976-09-25,1,2541,Church Lane,,Duncan,9,X8Z 2Y1,jgn3ccgkexbjzdgn@skdprojects.net,231-140-6105,false
1770b76a-c7dc-4b01-998d-50677101d2ed,24014,Aila,,Richardson,1949-10-31,2,2542,Tater Peeler Road,"",Saanich,12,C8E 6Q4,abatvrmdz1lsztzv@skdprojects.net,110-341-7982,false
27a6cc36-0970-4deb-b11a-211bb2bbe951,35013,Muhammad,,Barnes,1976-06-24,3,4143,Queens Road,,Toronto,9,H2Y 4B4,xzerusp4e8e8qxmg@skdprojects.net,531-114-9753,false
552a5043-4bd2-4afc-a72e-ef218dd40de9,59026,Maeve,,Williams,1971-07-27,2,8593,New Road,,Rimouski,13,P9N 3T3,jgn3ccgkexbjzdgn@skdprojects.net,770-419-8640,false
92712a56-038b-460f-898a-420350d04756,35092,Carter,,Lewis,1977-02-20,1,4291,Bucket of Blood Street,,Saint-Jerome,5,J2E 0L6,jmtppd8ajkvwwtvb@skdprojects.net,312-997-3733,false
997cf68a-2005-4afb-834f-cd28a82e3e1e,46001,Sienna,Brooks,Walker,1922-08-07,2,3307,This Aint It Road,F3,Cambridge,3,B8T 6P1,xzerusp4e8e8qxmg@skdprojects.net,382-489-8221,false
7530747e-225e-46fb-91d3-ab7a062c37f7,48012,Samuel,,Gutierrez,1953-10-09,1,3194,Psycho Path,,Beloeil,6,Y7Z 8X0,fa8xc3apih2eamj1@skdprojects.net,038-859-2061,false
d039a1f4-9733-4392-b242-787d13ae5cc4,48010,Indie,,Reynolds,1966-04-26,3,6539,Little Smokies Lane,,London,9,K6P 6D9,fa8xc3apih2eamj1@skdprojects.net,424-703-8730,false
dd31f6b2-6e6c-4b33-9dc5-bb67cc8805d5,24029,Elliot,,Richardson,1998-10-08,1,8961,Anyhow Lane,,Drummondville,12,M8E 0H8,jgn3ccgkexbjzdgn@skdprojects.net,904-979-9259,false
66a2dd01-1118-4770-844f-0ce011b61253,35010,Thea,,Ortiz,1981-09-03,2,1753,Manchester Road,V4,Coquitlam,2,C6J 0L6,jmtppd8ajkvwwtvb@skdprojects.net,198-797-3964,false
08776405-4c7e-4cff-8b24-0af80f3b6dbc,24044,Ruairidh,,Simmons,1972-12-31,1,2430,King Street,,Moncton,9,M5B 0S0,fa8xc3apih2eamj1@skdprojects.net,608-703-5752,false
adf6e82c-37f3-4b27-a784-46f345f075fa,46005,Sophie,Roberts,Hall,1962-03-23,2,5605,Queen Street,,Gatineau,7,W0O 8P6,fa8xc3apih2eamj1@skdprojects.net,039-395-4778,false
1d8c8a0d-575d-4edc-b938-c87c0e468d5c,59004,Benjamin,,Hernandez,1931-11-14,3,6716,The Crescent,,Delta,2,L1J 9A0,xzerusp4e8e8qxmg@skdprojects.net,456-902-5435,false
08cfaf58-c08c-4285-a4c2-65e00dbf11fa,24008,Hollie,,Howard,1945-05-27,2,1036,London Road,8J,Brantford,6,R9J 0L3,abatvrmdz1lsztzv@skdprojects.net,873-235-6207,false
8616181b-eca7-464a-a7be-91c35ccaefc8,35033,Logan,,Henderson,1975-07-28,1,428,Main Road,,Kelowna,10,P5A 8G6,abatvrmdz1lsztzv@skdprojects.net,816-231-5604,false
16718e3d-757c-4aee-a593-d6eb3a4c144b,46003,Maeve,,Myers,1987-02-27,2,2435,Grove Road,,Rouyn-Noranda,4,J7X 6C1,jmtppd8ajkvwwtvb@skdprojects.net,632-546-5970,false
8fe54fc6-c4cf-470e-8144-5e4ff3e92002,59004,Charlie,,Reynolds,1948-02-25,1,1702,Error Place,,St. John's,7,U9M 7C1,abatvrmdz1lsztzv@skdprojects.net,166-600-8091,false
3172a106-1f14-46a3-a665-f62620a9f29f,35108,Esme,Kim,Johnson,1932-08-13,3,383,South Street,HSQYI,Maple Ridge,9,N9I 7Q4,abatvrmdz1lsztzv@skdprojects.net,609-081-5177,false
9e397a2a-ed15-4f2a-abe3-625bb110e64a,24075,David,,Chavez,2003-03-27,1,5443,Tupac Lane,,Victoria,7,E4V 4Q4,jmtppd8ajkvwwtvb@skdprojects.net,652-095-5866,false
5adb5263-2e93-492d-9c29-2b07372afde9,48016,Summer,,Reed,1982-11-04,2,2093,The Tragically Hip Way,,Halton Hills,9,I7B 0J2,jmtppd8ajkvwwtvb@skdprojects.net,757-277-5743,false
5b9a6b4a-da69-40bb-b12b-0984340c1f72,24038,Ethan,,Vasquez,1981-06-07,1,5619,Puddin Ridge Road,,Toronto,5,G0C 0R4,jmtppd8ajkvwwtvb@skdprojects.net,028-704-1978,false
c0032d27-14d3-4f1a-9c34-46d747862a8a,35009,Lucy,,Foster,1936-05-13,2,8230,Manor Road,WP3A,Pickering,9,Z1C 3L8,fa8xc3apih2eamj1@skdprojects.net,927-324-7334,false
d2b43280-5ec5-458f-b5f2-7cfe7b5e8a41,35060,Isaac,,Webb,1941-11-29,3,8569,Green Lane,,Sault Ste. Marie,13,J7T 4Q9,abatvrmdz1lsztzv@skdprojects.net,297-282-9709,false
073f12a2-c581-4df4-87e7-b7a6a6e51f74,13006,Emma,Foster,Cole,1999-03-01,2,5679,West Street,,Granby,12,N2W 1K0,jmtppd8ajkvwwtvb@skdprojects.net,936-860-3902,false
77f2cee7-1990-49c4-acf5-30be46368dad,24039,Ben,,Griffin,1986-02-12,1,1939,West Street,,Saint-Eustache,11,D1D 1K2,jmtppd8ajkvwwtvb@skdprojects.net,142-791-1954,false
db71d511-e9ca-405b-8090-14c0bf7dc99c,48012,Thea,,Butler,1928-11-20,2,5625,West Street,CZRF,New Tecumseth,12,X8P 4E0,abatvrmdz1lsztzv@skdprojects.net,808-725-6345,false
52cf369d-21d0-43e9-a896-a7d286ca53da,10004,Muhammad,,Wilson,1965-01-06,1,2511,Bad Route Road,,Fredericton,6,U1V 2H8,abatvrmdz1lsztzv@skdprojects.net,759-712-8346,false
c9bd4821-f9f1-4666-a2f7-46917fca8895,48010,Emma,,Perry,1928-10-25,3,9737,Avenue Road,,Bradford West Gwillimbury,2,N2J 4C2,abatvrmdz1lsztzv@skdprojects.net,162-606-0212,false
e1f7b01e-6506-4a80-9871-6291bf935264,59037,Frankie,,Griffin,1956-09-18,1,7346,Mill Road,,Brant,11,A7O 8R4,abatvrmdz1lsztzv@skdprojects.net,490-740-8538,false
