voter_id,card_id,card_pin,email_pin,sin,tax_10100,tax_12000,tax_12900,tax_14299,tax_15000,tax_23600,tax_24400,tax_26000,tax_31220,tax_58240
33b0a454-6700-439f-8b95-d15cc5eee96d,VURF45530H5F,33539232,,393,941746,1273973,649217,48538859,51403795,15421138,5140379,2864936,3000,7710569
58df161c-3485-4a99-851b-720436239cdf,GQFO1C3D3PGQ,52787851,,499,671752,1262992,671893,0,2606637,781991,0,2606637,0,390995
5831f6e6-0751-4ece-88fa-f8b1ea5f8fb9,G23S6R2CBQ5J,68602646,,904,300357,664449,790572,0,1755378,526613,0,1755378,0,263306
d24017d6-d169-400a-aeb2-8750a145a976,1E5AQCA189JK,59117004,,749,181471,2044549,684620,0,2910640,873192,0,2910640,0,436596
7e341c3e-e7d1-44b6-a9b8-42c8e45dc2f5,OZ5OJJKK33SM,75210635,,987,186702,1833734,411301,0,2431737,729521,0,2431737,0,364760
5e1d6491-fbf3-4ce2-9b30-a65893005b15,AMJ64RZYY4ZN,69233373,,918,144119,284769,426484,0,855372,256611,0,855372,0,128305
a55aaec5-6cac-4280-a6ea-b87f03711a2f,VJ2M4O3P1SO3,70829431,,452,397010,1689525,685616,0,2772151,831645,0,2772151,0,415822
2e7b83c4-37bf-4e61-b806-d8edbaf2269b,YAF7N4V85YLH,64222591,,699,942733,39474,150399,0,1132606,339781,0,1132606,0,169890
1770b76a-c7dc-4b01-998d-50677101d2ed,3UOO239XV4EB,74854166,,724,187366,408337,983692,0,1579395,473818,0,1579395,0,236909
27a6cc36-0970-4deb-b11a-211bb2bbe951,KOVJLNE2EMEY,89399888,,293,79045,2410316,558613,0,3047974,914392,0,3047974,0,457196
552a5043-4bd2-4afc-a72e-ef218dd40de9,JZSRTRQXEONW,99985480,,265,816987,1074041,659753,0,2550781,765234,0,2550781,0,382617
92712a56-038b-460f-898a-420350d04756,4ZDWFWQP0U7Y,72396508,,576,503254,1841770,925918,0,3270942,981282,0,3270942,0,490641
997cf68a-2005-4afb-834f-cd28a82e3e1e,U14BZMZERG9H,46084266,,387,434867,4743,436320,13571441,14447371,4334211,0,875930,0,2167105
7530747e-225e-46fb-91d3-ab7a062c37f7,LMPPTU6NGKT0,70017853,,417,859164,645833,45118,0,1550115,465034,0,1550115,0,232517
d039a1f4-9733-4392-b242-787d13ae5cc4,Y63DXEVFAJL0,98818310,,440,124399,1837577,941849,0,2903825,871147,290382,2903825,0,435573
dd31f6b2-6e6c-4b33-9dc5-bb67cc8805d5,XAM4FJZB6TR2,79480481,,130,517754,1510800,455542,0,2484096,745228,0,2484096,0,372614
66a2dd01-1118-4770-844f-0ce011b61253,T253KDJPNMKZ,68812780,,715,192690,106835,629745,0,929270,278781,0,929270,0,139390
08776405-4c7e-4cff-8b24-0af80f3b6dbc,5UBENY24GCPK,88644563,,217,66639,2122810,642129,0,2831578,849473,0,2831578,0,424736
adf6e82c-37f3-4b27-a784-46f345f075fa,XZMAV4TT4WPE,15111284,,466,716962,1191752,611468,0,2520182,756054,0,2520182,0,378027
1d8c8a0d-575d-4edc-b938-c87c0e468d5c,V7BIS8WD4YBR,35586810,,378,829302,1274320,998896,0,3102518,930755,0,3102518,0,465377
08cfaf58-c08c-4285-a4c2-65e00dbf11fa,4J73XPY2RP4F,94186211,,647,647769,1840271,232594,0,2720634,816190,0,2720634,0,408095
8616181b-eca7-464a-a7be-91c35ccaefc8,VS1CQB2WA60U,26461759,,467,633130,694576,458884,0,1786590,535977,0,1786590,3000,267988
16718e3d-757c-4aee-a593-d6eb3a4c144b,NRFQKE3STP4F,44368719,,819,963826,22040,84442,0,1070308,321092,0,1070308,0,160546
8fe54fc6-c4cf-470e-8144-5e4ff3e92002,OEY22UD0AK7Y,51115478,,622,128385,1919764,810073,0,2858222,857466,0,2858222,0,428733
3172a106-1f14-46a3-a665-f62620a9f29f,Q52I8OWWZL28,59069284,,646,254516,2065625,545192,47833774,50699107,15209732,0,2865333,0,7604866
9e397a2a-ed15-4f2a-abe3-625bb110e64a,FUIC46PUJRSW,59484203,,408,228668,1140010,122279,0,1490957,447287,0,1490957,0,223643
5adb5263-2e93-492d-9c29-2b07372afde9,8SCBXHS027A7,31960499,,474,31958,618709,953540,0,1604207,481262,0,1604207,0,240631
5b9a6b4a-da69-40bb-b12b-0984340c1f72,KLZ9QVJOBBSD,43667445,,814,916499,1466564,108607,0,2491670,747501,0,2491670,0,373750
c0032d27-14d3-4f1a-9c34-46d747862a8a,HJS8ODZMHDSB,41583185,,194,94972,1927873,557852,0,2580697,774209,258069,2580697,0,387104
d2b43280-5ec5-458f-b5f2-7cfe7b5e8a41,G69IWXW3OSIS,95571223,,428,805908,862484,521378,0,2189770,656931,0,2189770,0,328465
073f12a2-c581-4df4-87e7-b7a6a6e51f74,TB5QQCXUCP3A,96112441,,873,958533,574727,675916,0,2209176,662752,0,2209176,0,331376
77f2cee7-1990-49c4-acf5-30be46368dad,RDJLXWN820MM,66304762,,898,383603,646866,552862,0,1583331,474999,0,1583331,0,237499
db71d511-e9ca-405b-8090-14c0bf7dc99c,9LICU3J4MP8X,28352831,,973,302479,208387,849963,0,1360829,408248,0,1360829,0,204124
52cf369d-21d0-43e9-a896-a7d286ca53da,Q8J2H88OCROR,35951985,,540,684494,598018,46374,0,1328886,398665,0,1328886,0,199332
